neuron_idx,z_score,raw_mean,raw_std
0,-0.043097,-0.008413,0.026588
1,-0.114525,-0.028283,0.062295
2,-1.042676,-0.286485,0.445494
3,0.030595,0.012088,0.155584
4,-0.751086,-0.205368,0.279592
5,-0.117911,-0.029225,0.123345
6,0.022058,0.009713,0.083777
7,0.226207,0.066505,0.636796
8,0.004852,0.004926,0.059594
9,0.659261,0.186977,0.627349
10,-0.603869,-0.164414,0.34936
11,3.112656,0.869487,0.816976
12,0.091214,0.028951,0.184439
13,-0.069015,-0.015623,0.053991
14,-0.061246,-0.013461,0.015423
15,0.020303,0.009225,0.010612
16,-0.012844,4e-06,0.230893
17,0.012346,0.007011,0.006604
18,-0.005642,0.002007,0.064391
19,0.119076,0.036702,0.080314
20,-0.014978,-0.00059,0.100432
21,-0.00756,0.001474,0.029563
22,0.060635,0.020445,0.031471
23,-0.001817,0.003071,0.038554
24,0.059166,0.020036,0.197847
25,-0.015917,-0.000851,0.002607
26,0.022501,0.009836,0.011565
27,0.096405,0.030396,0.025929
28,-0.137012,-0.034539,0.093922
29,-0.027234,-0.004,0.012402
30,0.013465,0.007323,0.018398
31,0.242872,0.071141,0.057675
32,-2.017569,-0.557691,0.845221
33,-0.205204,-0.053509,0.260516
34,-0.162798,-0.041712,0.127108
35,0.020939,0.009402,0.085938
36,-0.402729,-0.108459,0.060324
37,-0.031772,-0.005262,0.032167
38,2.283217,0.638745,0.340852
39,-0.257419,-0.068035,0.049809
40,1.989292,0.556978,0.953299
41,-0.049627,-0.010229,0.064113
42,0.591399,0.168098,0.198446
43,0.073068,0.023904,0.033884
44,-0.124748,-0.031127,0.099608
45,0.048771,0.017144,0.064057
46,0.287693,0.08361,0.086688
47,-0.058573,-0.012718,0.03041
48,0.230228,0.067624,0.221386
49,0.079072,0.025574,0.099621
50,-4.602067,-1.276673,2.429903
51,-0.116707,-0.02889,0.146653
52,0.217299,0.064027,0.281949
53,-0.89535,-0.245501,0.14891
54,-0.007072,0.001609,0.022354
55,0.546378,0.155574,0.539999
56,-0.013271,-0.000115,0.004772
57,-0.026333,-0.003749,0.030366
58,-0.525391,-0.142582,0.061551
59,-0.171164,-0.044039,0.185241
60,-0.345817,-0.092626,0.256958
61,0.383018,0.110128,0.219305
62,0.002529,0.00428,0.028361
63,12.687113,3.533006,2.554763
64,-0.010847,0.000559,0.006538
65,0.643003,0.182454,0.451039
66,-0.049087,-0.010079,0.066427
67,-0.021805,-0.002489,0.013079
68,-0.254358,-0.067183,0.104382
69,0.449629,0.128659,0.65694
70,0.063745,0.02131,0.023904
71,-0.183005,-0.047334,0.056436
72,0.116817,0.036074,0.253783
73,-0.026562,-0.003813,0.463051
74,0.049779,0.017425,0.052016
75,0.164829,0.049431,0.153142
76,-0.089463,-0.021311,0.092486
77,-0.332092,-0.088808,0.164891
78,0.542863,0.154596,0.336323
79,-0.784487,-0.21466,0.381219
80,-0.032477,-0.005458,0.039349
81,-0.310153,-0.082705,0.15761
82,-0.959926,-0.263465,0.342335
83,0.01882,0.008812,0.015091
84,0.18156,0.054085,0.145169
85,-0.002853,0.002783,0.005587
86,-0.002646,0.00284,0.064385
87,0.146248,0.044261,0.029628
88,0.559167,0.159131,0.30883
89,-0.097866,-0.023649,0.109479
90,1.170165,0.329105,0.726616
91,-0.336534,-0.090044,0.044309
92,-0.513954,-0.1394,0.332137
93,0.009305,0.006165,0.033101
94,-1.238923,-0.34108,0.498621
95,-0.414856,-0.111832,0.056874
96,0.032152,0.012521,0.0415
97,-0.763604,-0.20885,0.955604
98,-0.14915,-0.037915,0.069292
99,-0.087683,-0.020816,0.026381
100,0.115493,0.035706,0.265884
101,-0.087348,-0.020723,0.020724
102,0.024888,0.0105,0.10796
103,-0.566308,-0.153965,0.097801
104,0.084913,0.027199,0.199948
105,0.444586,0.127256,0.238032
106,-0.002627,0.002846,0.012443
107,0.079154,0.025597,0.026282
108,0.037853,0.014107,0.017858
109,-0.327394,-0.087501,0.212839
110,0.245047,0.071746,0.338416
111,-0.221678,-0.058092,0.313684
112,-0.19155,-0.049711,0.152341
113,-0.500673,-0.135706,0.246175
114,-0.132912,-0.033398,0.151834
115,-0.513783,-0.139353,0.499708
116,-0.736157,-0.201215,0.303226
117,-0.006583,0.001745,0.01722
118,-0.382455,-0.102818,0.289417
119,-0.044115,-0.008696,0.069831
120,-0.1299,-0.03256,0.138156
121,0.031413,0.012315,0.097689
122,-0.015227,-0.000659,0.02857
123,-0.026421,-0.003773,0.042236
124,0.217417,0.06406,0.246865
125,-0.054625,-0.01162,0.112035
126,-0.010686,0.000604,0.069086
127,0.151396,0.045693,0.165042
128,0.115607,0.035737,0.045634
129,0.251467,0.073532,0.676592
130,-0.223348,-0.058557,0.207215
131,0.017223,0.008368,0.017015
132,0.041135,0.01502,0.106776
133,-0.05347,-0.011298,0.044412
134,-0.19375,-0.050323,0.249991
135,-0.585717,-0.159364,0.335145
136,-0.059234,-0.012902,0.075771
137,4.283524,1.195211,0.515791
138,-0.069631,-0.015794,0.056274
139,0.252875,0.073924,0.234262
140,0.152342,0.045957,0.174491
141,-0.722477,-0.197409,0.646577
142,0.267242,0.077921,0.271271
143,0.315341,0.091301,0.318684
144,1.502503,0.421558,0.381702
145,-0.03717,-0.006764,0.030766
146,-7.453793,-2.069995,1.212215
147,0.107533,0.033491,0.179918
148,-0.860264,-0.23574,0.386185
149,-0.019928,-0.001967,0.021594
150,0.394228,0.113247,0.066787
151,-0.022777,-0.00276,0.01405
152,-0.014637,-0.000495,0.009862
153,-0.007752,0.00142,0.054351
154,-1.376163,-0.379258,1.024865
155,0.18345,0.054611,0.451938
156,1.074721,0.302553,0.250524
157,0.019581,0.009024,0.023944
158,0.310563,0.089972,0.086173
159,0.102581,0.032114,0.052824
160,-0.179072,-0.046239,0.089907
161,0.060492,0.020405,0.132562
162,0.009311,0.006167,0.079622
163,0.111833,0.034688,0.105228
164,10.281637,2.863826,2.782331
165,-0.17246,-0.0444,0.289844
166,0.127592,0.039071,0.027464
167,0.039474,0.014558,0.17189
168,-1.711468,-0.472537,0.639484
169,-0.019417,-0.001825,0.004063
170,-0.014239,-0.000385,0.023045
171,0.042062,0.015278,0.066753
172,0.040915,0.014959,0.215472
173,-0.077088,-0.017868,0.058695
174,0.036471,0.013723,0.345761
175,0.108145,0.033662,0.116904
176,0.138392,0.042076,0.110832
177,-0.069224,-0.015681,0.057915
178,-1.089235,-0.299438,0.314553
179,0.194957,0.057812,0.115616
180,-0.049203,-0.010111,0.019709
181,0.000996,0.003854,0.051304
182,-0.014272,-0.000394,0.178007
183,0.287899,0.083667,0.154348
184,0.205647,0.060786,0.159991
185,-0.053735,-0.011372,0.016461
186,0.020782,0.009358,0.048466
187,-0.025341,-0.003473,0.068077
188,0.313283,0.090729,0.14818
189,-0.161837,-0.041445,0.163583
190,0.534591,0.152295,0.403513
191,0.040509,0.014846,0.082015
192,0.309237,0.089603,0.377691
193,-0.55232,-0.150073,0.550638
194,0.269691,0.078602,0.916581
195,0.07758,0.025159,0.162357
196,-0.143745,-0.036412,0.139536
197,-0.108837,-0.026701,0.07081
198,-0.098186,-0.023738,0.070651
199,0.165172,0.049526,0.129203
200,-0.072508,-0.016594,0.053982
201,-1.214718,-0.334346,0.395291
202,0.538155,0.153286,0.262279
203,-0.132596,-0.03331,0.068522
204,0.472506,0.135023,0.602814
205,-0.010626,0.000621,0.001822
206,-0.519266,-0.140878,0.227491
207,0.960719,0.270839,0.603933
208,-0.482936,-0.130771,0.298618
209,0.076141,0.024758,0.11715
210,0.574902,0.163509,0.338878
211,-0.073066,-0.01675,0.125615
212,-0.883951,-0.24233,0.463308
213,1.137072,0.319899,0.905466
214,0.108481,0.033755,0.193814
215,0.171075,0.051168,0.086002
216,0.004593,0.004854,0.084043
217,-1.00387,-0.27569,0.366351
218,-0.003786,0.002523,0.025147
219,0.052979,0.018315,0.096604
220,-0.001371,0.003195,0.062393
221,2.282477,0.638539,0.590829
222,-0.077385,-0.017951,0.077619
223,-1.910123,-0.527801,0.56286
224,-0.026935,-0.003916,0.049023
225,0.048106,0.016959,0.109942
226,0.083479,0.0268,0.084509
227,0.015079,0.007771,0.031662
228,0.018199,0.008639,0.075672
229,-1.636616,-0.451714,0.753124
230,-0.092883,-0.022263,0.103436
231,0.027542,0.011239,0.211084
232,-0.045843,-0.009176,0.028935
233,-0.180293,-0.046579,0.063778
234,-0.018988,-0.001706,0.019315
235,0.251384,0.073509,0.189219
236,0.031057,0.012216,0.04341
237,-0.302083,-0.08046,0.577253
238,-0.061598,-0.013559,0.015858
239,0.626266,0.177798,0.218512
240,-0.088229,-0.020968,0.080373
241,0.0045,0.004828,0.038143
242,-5.849983,-1.623831,2.048266
243,-0.032632,-0.005501,0.143428
244,0.204221,0.060389,0.054994
245,0.006147,0.005287,0.0425
246,-0.45223,-0.122229,0.277339
247,-0.235069,-0.061817,0.39635
248,0.241819,0.070848,0.306134
249,0.029115,0.011676,0.007854
250,0.045079,0.016117,0.018005
251,0.453226,0.12966,0.144714
252,-0.057914,-0.012534,0.091455
253,0.164401,0.049311,0.1435
254,0.260834,0.076138,0.399632
255,0.181566,0.054087,0.111425
256,0.0182,0.00864,0.03367
257,-0.100057,-0.024258,0.330981
258,-0.179678,-0.046408,0.187967
259,-0.166804,-0.042826,0.071618
260,-0.010441,0.000672,0.039468
261,0.420663,0.120601,0.129208
262,0.04534,0.01619,0.10792
263,-0.054392,-0.011555,0.036297
264,-0.015371,-0.0007,0.001595
265,-0.067925,-0.015319,0.112823
266,0.094713,0.029925,0.15268
267,-0.059768,-0.01305,0.046913
268,-0.012896,-1.1e-05,0.000604
269,-0.167713,-0.04308,0.13801
270,0.415697,0.11922,0.585334
271,-1.666799,-0.46011,0.485748
272,0.023172,0.010023,0.140521
273,-0.233433,-0.061362,0.198551
274,0.586669,0.166782,0.2927
275,0.031336,0.012294,0.041384
276,0.049168,0.017255,0.102198
277,0.297486,0.086334,0.094977
278,-0.241845,-0.063702,0.049292
279,-0.018429,-0.00155,0.011357
280,-0.186658,-0.04835,0.072377
281,-0.069069,-0.015638,0.110912
282,-0.054529,-0.011593,0.069178
283,0.001306,0.00394,0.085721
284,0.099236,0.031183,0.080771
285,-0.280526,-0.074463,0.522246
286,0.093283,0.029527,0.124116
287,-0.201688,-0.052531,0.196273
288,-0.024127,-0.003135,0.082593
289,-0.094729,-0.022776,0.040428
290,-0.04546,-0.00907,0.036567
291,0.174777,0.052198,0.372719
292,-0.002204,0.002964,0.004752
293,0.038396,0.014258,0.042922
294,0.143075,0.043379,0.083785
295,0.000586,0.00374,0.196484
296,-0.139881,-0.035337,0.124672
297,-0.010778,0.000578,0.105127
298,-0.012542,8.7e-05,0.000258
299,-0.084529,-0.019939,0.102309
300,-0.08739,-0.020734,0.069145
301,-0.397651,-0.107046,0.329787
302,0.07971,0.025751,0.031785
303,0.60804,0.172727,0.382001
304,0.151976,0.045855,0.191377
305,-0.118044,-0.029262,0.043931
306,-0.000356,0.003477,0.023628
307,-0.160139,-0.040972,0.147285
308,-0.151552,-0.038584,0.057483
309,0.041886,0.015229,0.10513
310,-0.199333,-0.051876,0.161431
311,0.006336,0.005339,0.070858
312,0.003019,0.004416,0.02083
313,-0.07088,-0.016141,0.097705
314,-0.075442,-0.017411,0.249915
315,-0.06003,-0.013123,0.068124
316,-0.156676,-0.040009,0.327821
317,0.171504,0.051287,0.117248
318,0.078325,0.025366,0.286002
319,0.51056,0.145609,0.361584
320,-0.081716,-0.019156,0.130422
321,0.005001,0.004968,0.012807
322,0.008953,0.006067,0.04168
323,0.295259,0.085715,0.335574
324,0.568339,0.161683,0.552197
325,0.664589,0.188459,0.423521
326,-0.839206,-0.229882,0.334396
327,0.040745,0.014911,0.044033
328,0.066321,0.022027,0.082806
329,0.857937,0.242246,0.408308
330,-0.048817,-0.010004,0.084353
331,-0.483928,-0.131047,0.40169
332,-0.517866,-0.140489,0.291951
333,0.134989,0.041129,0.18474
334,0.122312,0.037603,0.180465
335,0.283692,0.082497,0.040347
336,-0.011576,0.000356,0.037821
337,-0.343459,-0.09197,0.059335
338,0.046286,0.016453,0.107433
339,1.175471,0.330581,0.497153
340,0.023587,0.010138,0.024891
341,0.089847,0.028571,0.249701
342,-0.061242,-0.01346,0.07514
343,-0.055911,-0.011977,0.095167
344,0.851711,0.240514,0.454722
345,-0.28043,-0.074436,0.242399
346,-0.062196,-0.013726,0.072891
347,-0.049741,-0.010261,0.221703
348,-0.031125,-0.005082,0.048372
349,2.671132,0.746659,0.906231
350,-0.021396,-0.002376,0.12356
351,0.025435,0.010652,0.018058
352,-0.748888,-0.204757,0.610473
353,-8.601568,-2.389295,1.69238
354,-0.237695,-0.062548,0.177043
355,-0.036282,-0.006517,0.036119
356,-0.508031,-0.137752,0.522616
357,0.710008,0.201094,0.413727
358,0.005006,0.004969,0.031738
359,0.116803,0.03607,0.107956
360,-0.050807,-0.010557,0.02936
361,0.214338,0.063203,0.041519
362,0.008849,0.006038,0.037731
363,0.058098,0.019739,0.091258
364,0.050563,0.017643,0.048129
365,0.129989,0.039738,0.167185
366,0.177418,0.052932,0.300522
367,-0.028936,-0.004473,0.016281
368,-0.582409,-0.158444,0.226282
369,-0.570704,-0.155188,0.481459
370,0.144817,0.043863,0.188208
371,-0.283849,-0.075387,0.247141
372,-0.004657,0.002281,0.033406
373,-0.024599,-0.003267,0.15913
374,-0.041095,-0.007855,0.071946
375,0.076646,0.024899,0.124464
376,0.164885,0.049446,0.236143
377,0.183876,0.054729,0.213626
378,-0.040483,-0.007685,0.030772
379,-0.269484,-0.071391,0.10147
380,0.016189,0.00808,0.072252
381,0.087856,0.028017,0.094555
382,-0.318937,-0.085148,0.249974
383,-0.220252,-0.057695,0.141177
384,0.012005,0.006916,0.185663
385,0.035366,0.013415,0.125229
386,-0.030682,-0.004959,0.037081
387,0.532007,0.151576,0.460334
388,0.044843,0.016052,0.021251
389,-0.047821,-0.009727,0.072076
390,-0.048322,-0.009866,0.040734
391,0.101921,0.03193,0.190442
392,-0.044961,-0.008931,0.016301
393,0.136588,0.041574,0.191151
394,-0.090724,-0.021662,0.231209
395,-0.00458,0.002303,0.003155
396,-0.012037,0.000228,0.106366
397,0.006696,0.005439,0.053891
398,0.44807,0.128225,0.224956
399,-0.276876,-0.073448,0.32339
400,0.26143,0.076304,0.155329
401,-0.370351,-0.099451,0.090762
402,-0.194626,-0.050566,0.148542
403,-0.056658,-0.012185,0.101468
404,-0.151576,-0.03859,0.138965
405,0.007192,0.005577,0.034964
406,-0.010179,0.000745,0.040287
407,0.265992,0.077573,0.329699
408,-0.024591,-0.003264,0.011276
409,1.591084,0.4462,0.723712
410,0.054455,0.018725,0.102597
411,-0.844776,-0.231432,0.654102
412,0.019518,0.009006,0.018644
413,0.295317,0.085731,0.045794
414,0.185847,0.055278,0.369001
415,0.00292,0.004389,0.077138
416,-4.955623,-1.375029,1.317639
417,-0.031339,-0.005142,0.033045
418,0.001174,0.003903,0.026162
419,-0.434863,-0.117398,0.046753
420,0.086407,0.027614,0.147138
421,-0.016533,-0.001023,0.045751
422,3.616184,1.009563,0.716652
423,-0.050542,-0.010484,0.063849
424,-0.010051,0.000781,0.045518
425,-0.009538,0.000923,0.026442
426,1.466123,0.411437,0.748419
427,0.062119,0.020858,0.145924
428,0.002375,0.004237,0.063491
429,0.165658,0.049661,0.179221
430,-0.023393,-0.002931,0.077789
431,-0.321964,-0.085991,0.197353
432,0.037095,0.013896,0.039704
433,-0.111288,-0.027383,0.290538
434,-0.222332,-0.058274,0.303305
435,1.893245,0.530259,0.749365
436,-0.016323,-0.000964,0.049556
437,-0.044353,-0.008762,0.009898
438,0.000558,0.003732,0.513628
439,0.206974,0.061155,0.192141
440,-0.128637,-0.032209,0.119112
441,0.050904,0.017738,0.01739
442,0.025244,0.010599,0.019381
443,0.50792,0.144875,0.447075
444,-0.035421,-0.006277,0.015019
445,-0.615302,-0.167594,0.504537
446,0.192115,0.057021,0.208183
447,0.226863,0.066688,0.210173
448,-0.110705,-0.02722,0.360992
449,-0.024166,-0.003146,0.058834
450,0.325577,0.094149,0.271803
451,-1.417026,-0.390626,0.589879
452,-0.135324,-0.034069,0.07978
453,1.090254,0.306875,0.471236
454,0.190192,0.056486,0.179623
455,-0.241143,-0.063507,0.1755
456,-0.057314,-0.012368,0.067622
457,-0.044288,-0.008744,0.099041
458,0.003666,0.004596,0.047921
459,-1.171311,-0.32227,0.569381
460,-0.047597,-0.009664,0.082073
461,-0.211023,-0.055128,0.310003
462,-0.018094,-0.001457,0.081432
463,-0.305675,-0.081459,0.098031
464,0.102556,0.032107,0.121645
465,-0.783031,-0.214255,0.56165
466,0.047168,0.016698,0.012264
467,0.199808,0.059161,0.087425
468,-0.007538,0.00148,0.046492
469,-0.083486,-0.019648,0.152557
470,-0.810216,-0.221817,0.403797
471,0.017953,0.008571,0.010678
472,0.028251,0.011436,0.17864
473,0.0565,0.019294,0.018569
474,0.585074,0.166338,0.393799
475,-0.039048,-0.007286,0.016747
476,-0.008148,0.00131,0.035523
477,0.351353,0.10132,0.283291
478,0.576948,0.164078,0.226483
479,-1.147802,-0.31573,0.411308
480,-0.004708,0.002267,0.007265
481,-0.025527,-0.003525,0.018914
482,-0.099744,-0.024171,0.077313
483,0.032624,0.012652,0.053687
484,0.014964,0.00774,0.084578
485,0.02701,0.01109,0.035459
486,-0.074537,-0.017159,0.059946
487,-0.094586,-0.022736,0.148182
488,-0.031145,-0.005088,0.055363
489,0.507487,0.144755,0.211879
490,0.11116,0.0345,0.063122
491,0.579605,0.164817,0.525458
492,0.546443,0.155592,0.836566
493,-0.27417,-0.072695,0.226266
494,0.214102,0.063138,0.199574
495,1.438031,0.403623,0.736258
496,-0.783251,-0.214316,0.402539
497,0.072001,0.023607,0.219593
498,0.002781,0.00435,0.005168
499,-2.235904,-0.61843,0.933491
500,0.006854,0.005483,0.049582
501,0.07289,0.023854,0.127124
502,-0.083054,-0.019528,0.186943
503,0.124777,0.038288,0.039552
504,1.407594,0.395155,0.284173
505,-0.977936,-0.268475,0.44641
506,-0.293479,-0.078066,0.321701
507,-0.040437,-0.007673,0.027335
508,0.162741,0.04885,0.117751
509,0.144768,0.04385,0.029411
510,-0.015192,-0.00065,0.098138
511,-0.00848,0.001218,0.04008
512,0.068433,0.022614,0.018716
513,-0.012423,0.000121,0.000282
514,-0.228476,-0.059983,0.231454
515,0.378575,0.108893,0.21705
516,0.251789,0.073622,0.151785
517,0.064696,0.021574,0.176437
518,0.066927,0.022195,0.095772
519,2.116808,0.592452,0.520033
520,1.828291,0.512189,0.548184
521,0.029128,0.01168,0.049568
522,-0.430363,-0.116146,0.471235
523,-0.319125,-0.085201,0.31216
524,-0.012922,-1.8e-05,0.000225
525,-1.756388,-0.485033,0.985467
526,-0.002114,0.002989,0.011839
527,-0.011814,0.00029,0.021046
528,-0.094744,-0.02278,0.052605
529,0.361749,0.104212,0.479114
530,0.012835,0.007147,0.072468
531,0.007094,0.00555,0.228772
532,-0.077221,-0.017905,0.034869
533,-0.000947,0.003313,0.086379
534,-0.037725,-0.006918,0.017765
535,0.594477,0.168954,0.382347
536,-0.08993,-0.021441,0.276933
537,-0.029447,-0.004615,0.082944
538,4.362721,1.217243,0.503124
539,-0.185965,-0.048157,0.145081
540,-0.18364,-0.04751,0.143444
541,-0.237374,-0.062458,0.215239
542,-0.049678,-0.010243,0.162113
543,0.110096,0.034204,0.057227
544,0.057028,0.019441,0.075428
545,0.924854,0.260862,0.570952
546,-0.015052,-0.000611,0.037967
547,-0.048051,-0.009791,0.100259
548,-0.105728,-0.025836,0.129446
549,0.018691,0.008776,0.029859
550,-0.090651,-0.021642,0.167885
551,-0.246212,-0.064917,0.167883
552,0.005772,0.005182,0.05411
553,-0.463921,-0.125482,0.381101
554,0.023557,0.01013,0.020131
555,0.046707,0.01657,0.038664
556,-0.181253,-0.046846,0.111427
557,-0.05476,-0.011657,0.039365
558,-2.01427,-0.556773,0.615385
559,0.267096,0.07788,0.417359
560,0.084103,0.026973,0.05171
561,-6.187531,-1.717733,1.640599
562,-0.067945,-0.015325,0.046746
563,-0.037622,-0.00689,0.110273
564,-2.021828,-0.558876,0.678566
565,0.07796,0.025264,0.066293
566,-0.084741,-0.019998,0.066344
567,-0.075749,-0.017496,0.020787
568,-0.061397,-0.013503,0.063421
569,-0.190157,-0.049323,0.06916
570,-0.172422,-0.04439,0.324266
571,-0.050699,-0.010527,0.085022
572,-1.035488,-0.284486,0.493505
573,-4.758877,-1.320296,0.930652
574,0.453347,0.129693,0.237023
575,0.067783,0.022433,0.067632
576,-0.054965,-0.011714,0.020008
577,-0.153656,-0.039169,0.102062
578,-0.403061,-0.108551,0.313995
579,-0.017443,-0.001276,0.006379
580,-0.090065,-0.021479,0.032576
581,0.375029,0.107906,0.244942
582,0.054253,0.018669,0.519519
583,-0.466289,-0.12614,0.345402
584,-0.054078,-0.011467,0.065225
585,2.59374,0.725129,0.865631
586,0.079626,0.025728,0.161253
587,-0.136676,-0.034445,0.082828
588,-0.091094,-0.021765,0.48008
589,-0.023483,-0.002956,0.138416
590,0.244167,0.071502,0.35599
591,-0.00654,0.001757,0.26325
592,-0.011617,0.000345,0.024803
593,-0.166672,-0.04279,0.13901
594,-0.091473,-0.02187,0.059531
595,-0.028963,-0.004481,0.020749
596,0.097836,0.030794,0.315458
597,0.030215,0.011982,0.17864
598,-0.050973,-0.010604,0.137331
599,0.17058,0.05103,0.062322
600,0.128869,0.039427,0.316771
601,0.082118,0.026421,0.074077
602,-0.091672,-0.021926,0.19014
603,0.026367,0.010912,0.030163
604,0.85133,0.240408,0.615336
605,-0.014839,-0.000552,0.010149
606,0.071436,0.02345,0.127753
607,0.300299,0.087117,0.196944
608,-0.181349,-0.046873,0.023854
609,0.240916,0.070597,0.116402
610,0.059908,0.020243,0.106213
611,0.00647,0.005377,0.079496
612,0.428279,0.12272,0.306645
613,-1.820367,-0.502831,0.574298
614,-0.095187,-0.022903,0.301114
615,-5.478024,-1.520356,0.925087
616,-0.379718,-0.102057,0.245652
617,-0.074691,-0.017202,0.014906
618,-0.888331,-0.243548,0.383176
619,-0.068239,-0.015407,0.244136
620,-0.166566,-0.04276,0.366264
621,-0.163738,-0.041974,0.218543
622,0.275666,0.080264,0.463791
623,0.361636,0.10418,0.115487
624,-0.778786,-0.213074,0.429305
625,0.422601,0.12114,0.269729
626,-0.065838,-0.014739,0.026798
627,-0.004211,0.002405,0.028396
628,1.328698,0.373207,0.535603
629,-1.65254,-0.456144,0.873101
630,-0.06585,-0.014742,0.072823
631,0.005352,0.005066,0.094525
632,-0.470225,-0.127235,0.106699
633,0.005554,0.005122,0.11473
634,-0.240152,-0.063231,0.202669
635,0.333795,0.096435,0.0467
636,0.12296,0.037783,0.104202
637,0.028797,0.011588,0.04316
638,-0.096565,-0.023287,0.09552
639,0.402749,0.115617,0.156842
640,0.230865,0.067801,0.246891
641,-0.089881,-0.021427,0.12191
642,-3.736133,-1.035779,0.737824
643,-0.004485,0.002329,0.055171
